episode,finalReward
04-18-03.yaml,[0.93979996]
04-19-01.yaml,[-0.9999971]
04-19-02.yaml,[-0.9999971]
04-19-03.yaml,[-0.9999971]
04-20-01.yaml,[-0.9999971]
04-20-02.yaml,[-0.9999971]
04-20-03.yaml,[-0.9999971]
04-21-01.yaml,[-0.9999971]
04-21-02.yaml,[-0.9999971]
04-21-03.yaml,[-0.9999971]
04-22-01.yaml,[-0.9999971]
04-22-02.yaml,[-0.9999971]
04-22-03.yaml,[-0.9999971]
04-23-01.yaml,[-0.9999971]
04-23-02.yaml,[-0.9999971]
04-23-03.yaml,[-0.9999971]
04-24-01.yaml,[-0.9999971]
04-24-02.yaml,[-0.9999971]
04-24-03.yaml,[-0.9999971]
04-25-01.yaml,[-0.9999971]
04-25-02.yaml,[-0.9999971]
04-25-03.yaml,[-0.9999971]
04-26-01.yaml,[-0.9999971]
04-26-02.yaml,[-0.9999971]
04-26-03.yaml,[-0.9999971]
04-27-01.yaml,[-0.9999971]
04-27-02.yaml,[-0.9999971]
04-27-03.yaml,[-0.9999971]
04-28-01.yaml,[-0.9999971]
04-28-02.yaml,[-0.9999971]
04-28-03.yaml,[-0.9999971]
04-29-01.yaml,[-1.0000069]
04-29-02.yaml,[-1.0000069]
04-29-03.yaml,[-1.0000069]
04-30-01.yaml,[0.8318]
04-30-02.yaml,[-1.2584]
04-30-03.yaml,[-0.9999971]
05-01-01.yaml,[-0.9999971]
05-01-02.yaml,[-0.9999971]
05-01-03.yaml,[-0.9999971]
05-02-01.yaml,[-0.9999971]
05-02-02.yaml,[-0.9999971]
05-02-03.yaml,[-0.9999971]
05-03-01.yaml,[-0.9999971]
05-03-02.yaml,[-0.9999971]
05-03-03.yaml,[-0.9999971]
05-04-01.yaml,[-0.9999971]
05-04-02.yaml,[-0.9999971]
05-04-03.yaml,[-0.9999971]
05-05-01.yaml,[-0.9999971]
05-05-02.yaml,[-0.9999971]
05-05-03.yaml,[-0.9999971]
05-06-01.yaml,[-0.9999971]
05-06-02.yaml,[-0.9999971]
05-06-03.yaml,[-1.0000069]
05-07-01.yaml,[-0.9999971]
05-07-02.yaml,[-0.9999971]
05-07-03.yaml,[-0.9999971]
05-08-01.yaml,[-0.9999971]
05-08-02.yaml,[-0.9999971]
05-08-03.yaml,[-0.9999971]
05-09-01.yaml,[-0.9999971]
05-09-02.yaml,[-0.9999971]
05-09-03.yaml,[-0.9999971]
05-10-01.yaml,[-0.9999971]
05-10-02.yaml,[-0.9999971]
05-10-03.yaml,[-0.9999971]
05-11-01.yaml,[-0.9999971]
05-11-02.yaml,[-0.9999971]
