episode,finalReward
07-10-02.yaml,[-0.9975971]
07-10-03.yaml,[-0.9975971]
07-11-01.yaml,[-0.9975971]
07-11-02.yaml,[-0.9975971]
07-11-03.yaml,[-0.9975971]
07-12-01.yaml,[-0.9975971]
07-12-02.yaml,[-0.9975971]
07-12-03.yaml,[-0.9975971]
07-13-01.yaml,[-0.9975971]
07-13-02.yaml,[-0.9975971]
07-13-03.yaml,[-0.9975971]
07-14-01.yaml,[4.6822]
07-14-02.yaml,[4.5118012]
07-14-03.yaml,[-0.99880695]
07-15-01.yaml,[-3.881805]
07-15-02.yaml,[-3.525399]
07-15-03.yaml,[-0.99880695]
07-16-01.yaml,[-0.9975971]
07-16-02.yaml,[-0.9975971]
07-16-03.yaml,[-0.9975971]
07-17-01.yaml,[-1.3671995]
07-17-02.yaml,[-1.0476]
07-17-03.yaml,[-1.018]
07-18-01.yaml,[-1.0324]
07-18-02.yaml,[-1.1051999]
07-18-03.yaml,[-1.0336]
07-19-01.yaml,[-0.9975971]
07-19-02.yaml,[-0.9975971]
07-19-03.yaml,[-0.9975971]
07-20-01.yaml,[-0.99880695]
07-20-02.yaml,[-0.99880695]
07-20-03.yaml,[-0.99880695]
07-21-01.yaml,[-0.99880695]
07-21-02.yaml,[-0.99880695]
07-21-03.yaml,[-0.99880695]
07-22-01.yaml,[-0.99880695]
07-22-02.yaml,[-0.99880695]
07-22-03.yaml,[-0.99880695]
07-23-01.yaml,[2.1161966]
07-23-02.yaml,[2.6898003]
07-23-03.yaml,[-0.99880695]
07-24-01.yaml,[0.03419363]
07-24-02.yaml,[-0.99880695]
07-24-03.yaml,[-0.99880695]
07-25-01.yaml,[0.8452249]
07-25-02.yaml,[0.1247926]
07-25-03.yaml,[-0.99880695]
07-26-01.yaml,[-0.9975971]
07-26-02.yaml,[-0.9975971]
07-26-03.yaml,[-0.9975971]
07-27-01.yaml,[-0.9975971]
07-27-02.yaml,[-0.9975971]
07-27-03.yaml,[-0.9975971]
07-28-01.yaml,[-0.14580457]
07-28-02.yaml,[-0.11300498]
07-28-03.yaml,[-0.99880695]
07-29-01.yaml,[-0.8882101]
07-29-02.yaml,[-0.99880695]
07-29-03.yaml,[-0.99880695]
07-30-01.yaml,[3.093702]
07-30-02.yaml,[2.494445]
07-30-03.yaml,[0.229624]
08-01-01.yaml,[-0.9975971]
